Time,Density (kg/m³),Resin Loading (g/m²),Temperature (°C),Moisture Content (%),Press Pressure (bar),Press Time (sec),Particle Size (mm),Resin Type,IB (MPa),MOR (MPa),TS (%),Outside Temperature (°C),Sawdust Humidity (%),Curing Time (sec),Cooling Time (sec),Cutting Speed (m/min),Warehouse Humidity (%),Material Waste (%),Energy Consumption (kWh),Wood Species Mix Ratio,Resin Hardener Ratio,Press Closure Speed (mm/s),Hot Press Plate Surface Temperature (°C),Pre-press Mat Moisture Content (%),Post-press Board Cooling Rate (°C/min),Dust Extraction Efficiency (%),Resin Penetration Depth (mm),Mat Forming Consistency (%),Board Edge Integrity (rating),Trim Waste Percentage (%),Additive Dosage (g/kg),Screening Efficiency (%),Blending Time for Particles and Resin (min),Mat Pre-heating Temperature (°C),Compression Ratio,Panel Surface Roughness (μm),Formaldehyde Scavenger Addition (g/kg),Sawdust Particle Distribution Uniformity (rating)
2022-12-03,629.22,109.84,207.98,5.18,398.91,25.63,0.67,Melamine,0.38,37.95,12.52,-0.8,8.65,92.87,30.87,98.46,32.09,2.0,1004.97,0.57,0.043,5.1,208.9,6.17,3.63,93.0,2.21,91.7,Poor,3.81,9.47,85.8,10.1,110.9,1.84,30.0,6.44,Uniform
2022-06-24,662.85,103.24,187.03,11.02,374.21,31.33,2.55,Melamine,0.43,39.65,10.16,34.01,10.43,68.73,72.97,81.15,49.97,3.36,766.85,0.56,0.05,19.55,198.3,8.62,2.65,90.5,4.69,98.2,Poor,2.61,7.41,83.0,8.0,98.2,2.25,11.0,2.76,Uniform
2022-07-07,705.36,184.89,214.67,5.9,336.89,22.8,1.26,Urea-formaldehyde,0.61,43.01,8.5,15.01,14.48,77.31,55.74,72.84,45.78,0.63,1355.46,0.89,0.029,13.71,195.1,8.76,3.88,98.7,1.24,95.7,Poor,4.37,0.83,92.1,10.5,92.7,2.21,67.0,1.4,Uniform
2022-09-10,774.89,142.74,226.4,9.13,351.93,23.18,1.95,Urea-formaldehyde,0.75,27.06,16.58,-4.8,8.8,144.47,44.41,84.84,33.69,0.16,1206.47,0.56,0.05,12.37,185.9,5.07,4.25,98.2,3.62,98.3,Good,4.34,18.05,87.5,12.1,85.1,1.6,13.0,4.98,Non-uniform
2022-04-11,772.3,232.83,225.89,9.64,344.35,35.69,1.6,Urea-formaldehyde,0.52,27.8,23.17,21.38,12.98,131.97,74.94,63.35,47.43,3.14,599.64,0.76,0.015,10.74,222.2,11.42,2.44,96.1,2.57,91.6,Excellent,3.93,6.44,94.7,6.4,119.4,2.55,63.0,3.04,Uniform
2022-02-09,645.17,287.86,219.98,5.2,354.35,20.45,1.62,Phenol-formaldehyde,0.46,38.19,18.23,32.1,13.46,173.74,38.87,73.67,41.3,4.6,1220.72,0.9,0.048,18.96,191.9,11.64,2.22,98.0,3.98,97.3,Good,0.98,1.1,93.0,10.7,116.2,2.39,62.0,8.77,Non-uniform
2022-07-24,631.78,117.33,185.46,9.14,392.76,38.55,2.53,Phenol-formaldehyde,0.49,32.79,23.01,-0.44,13.28,120.55,45.33,95.12,46.94,0.28,955.03,0.47,0.014,18.4,209.5,6.06,3.8,95.2,1.16,96.4,Excellent,3.6,11.65,82.0,5.6,93.8,1.89,49.0,7.69,Non-uniform
2022-12-19,670.37,212.48,181.36,11.46,303.82,27.3,2.33,Melamine,0.45,41.33,18.46,15.73,8.78,95.81,54.22,50.75,30.78,4.21,596.79,0.71,0.035,5.88,180.7,8.36,1.2,90.9,1.23,93.2,Good,4.31,8.7,94.5,10.3,102.6,2.92,79.0,1.54,Non-uniform
2022-12-17,659.55,228.88,207.53,10.23,389.2,24.34,0.62,Urea-formaldehyde,0.58,20.58,23.51,-2.41,14.19,143.0,53.02,83.28,46.2,3.39,1109.65,0.47,0.018,8.07,213.3,6.26,2.65,94.3,3.17,91.4,Excellent,1.16,12.88,91.4,13.5,93.5,2.6,90.0,1.32,Uniform
2022-11-30,643.88,143.44,224.89,5.46,315.14,32.97,1.1,Urea-formaldehyde,0.6,36.5,8.04,16.81,12.78,147.14,35.16,52.61,45.13,0.14,611.33,0.2,0.011,10.09,190.0,10.2,3.05,96.0,3.51,90.2,Poor,3.22,6.67,88.0,12.7,117.2,2.28,65.0,3.65,Uniform
2022-10-27,777.74,197.57,205.4,7.53,310.13,36.42,2.22,Phenol-formaldehyde,0.42,43.14,13.18,-1.83,6.63,115.21,38.59,87.37,39.95,2.16,1328.7,0.96,0.033,11.79,186.1,6.15,1.97,91.2,1.81,100.0,Fair,2.25,5.77,83.1,9.3,98.8,1.81,76.0,9.48,Uniform
2022-03-01,755.83,259.92,193.15,11.31,360.26,35.66,2.55,Melamine,0.66,29.31,11.63,17.2,6.42,120.15,32.72,80.17,41.51,2.14,913.26,0.69,0.024,18.63,200.6,9.73,2.98,98.1,1.32,96.0,Excellent,1.27,15.99,82.8,10.4,104.2,1.74,68.0,8.61,Non-uniform
2022-12-05,778.56,186.92,197.23,8.41,371.81,20.12,2.24,Phenol-formaldehyde,0.38,27.84,18.68,25.45,7.76,134.19,68.9,82.93,36.4,4.53,878.56,0.31,0.034,19.78,202.2,12.0,3.68,97.7,3.99,96.2,Good,2.27,2.03,85.9,12.7,118.5,2.67,37.0,1.45,Non-uniform
2022-11-04,743.17,215.69,219.91,9.48,371.4,38.04,2.45,Urea-formaldehyde,0.58,40.1,12.05,8.9,9.27,145.82,72.47,72.05,34.57,0.08,917.62,0.38,0.029,8.53,216.0,11.8,2.57,93.5,1.27,95.4,Poor,0.56,15.02,82.6,9.5,84.7,2.14,43.0,7.64,Uniform
2022-12-29,758.9,134.84,181.75,10.29,323.96,31.95,0.66,Melamine,0.69,42.12,15.39,6.85,8.84,119.02,30.73,87.7,38.97,4.82,1499.59,0.33,0.013,15.17,203.7,5.96,4.37,96.1,2.73,95.9,Excellent,4.49,6.36,96.3,8.4,107.9,2.99,71.0,3.93,Non-uniform
2022-09-27,677.47,143.7,215.68,7.85,339.7,37.99,1.47,Urea-formaldehyde,0.3,20.88,17.68,5.9,14.65,169.32,72.11,56.1,39.1,4.13,686.95,0.56,0.032,11.41,197.4,8.2,1.57,96.4,1.33,94.6,Poor,1.21,1.35,90.1,11.2,83.3,1.85,11.0,5.46,Uniform
2022-12-11,715.14,246.2,212.05,9.5,358.04,38.59,0.67,Phenol-formaldehyde,0.34,32.91,10.36,34.4,13.95,174.21,58.85,99.88,32.18,4.62,672.77,0.84,0.04,14.44,217.2,8.48,2.4,98.5,1.79,98.2,Good,3.31,9.88,86.2,13.6,81.3,2.56,66.0,4.59,Uniform
2022-11-20,625.24,269.95,205.9,10.28,368.8,21.94,0.83,Melamine,0.32,34.76,18.35,21.75,6.03,93.67,71.58,67.82,45.44,0.42,607.17,0.67,0.016,9.92,222.0,8.67,3.6,90.6,3.11,93.1,Fair,1.84,1.35,88.0,8.1,106.8,2.32,42.0,7.12,Non-uniform
2022-10-29,668.03,254.13,209.28,5.58,371.55,23.7,2.7,Urea-formaldehyde,0.59,46.4,14.92,16.84,10.39,78.52,81.62,71.09,42.7,4.32,779.29,0.17,0.022,15.96,224.7,9.97,2.95,90.7,4.89,94.7,Poor,1.95,3.07,97.9,8.3,82.4,2.14,99.0,6.22,Non-uniform
2022-09-07,758.56,149.06,190.02,9.66,389.62,32.13,0.76,Urea-formaldehyde,0.6,34.03,13.76,-3.73,11.79,99.65,77.36,62.79,35.33,1.6,858.48,0.38,0.033,14.63,198.9,10.75,1.26,93.7,4.71,96.2,Fair,3.07,17.67,88.2,6.9,118.0,2.49,87.0,2.33,Non-uniform
2022-09-17,764.68,175.37,187.33,11.84,372.15,31.78,2.87,Urea-formaldehyde,0.65,21.85,17.57,3.13,6.09,179.92,53.66,87.24,30.38,2.22,1022.12,0.58,0.043,6.49,226.2,8.25,1.92,96.9,2.16,98.8,Good,2.75,14.74,94.0,12.2,106.3,2.03,91.0,1.22,Uniform
2022-02-26,744.97,288.85,225.65,11.16,337.5,24.93,2.22,Phenol-formaldehyde,0.73,40.45,11.57,7.38,10.66,75.49,35.55,77.15,37.92,1.53,882.68,0.52,0.033,14.38,210.2,11.54,1.68,93.3,5.0,96.7,Poor,1.88,19.65,92.7,10.2,101.8,2.06,30.0,3.13,Non-uniform
2022-06-08,617.24,238.8,215.55,5.29,370.4,30.78,1.17,Urea-formaldehyde,0.57,35.9,14.89,13.8,12.44,101.55,49.54,64.78,38.65,3.59,1305.21,0.62,0.03,12.11,220.0,7.16,4.07,92.1,2.37,98.5,Fair,0.81,11.22,88.6,6.0,109.9,1.63,64.0,6.27,Non-uniform
2022-03-21,700.08,136.18,182.15,11.92,380.18,30.43,2.34,Melamine,0.62,30.24,9.77,2.75,13.79,77.97,45.4,79.8,39.55,3.76,996.31,0.28,0.038,6.78,213.2,10.85,2.69,91.4,4.06,93.4,Poor,1.89,9.28,83.3,7.8,91.1,2.94,86.0,6.2,Uniform
2022-08-27,618.18,296.03,180.62,10.27,346.68,30.71,1.28,Phenol-formaldehyde,0.71,46.04,23.9,11.14,7.64,88.61,54.4,85.85,42.92,0.81,994.24,0.85,0.017,5.69,204.6,7.81,3.31,95.4,1.47,95.9,Fair,4.39,14.27,82.0,9.0,85.6,2.02,21.0,4.22,Uniform
2022-11-20,758.69,272.82,216.29,9.81,374.76,39.64,0.77,Urea-formaldehyde,0.61,31.22,16.91,-0.36,5.44,134.76,68.56,65.75,39.25,3.17,1480.8,0.32,0.032,10.49,202.1,5.54,3.1,91.4,1.34,98.4,Excellent,1.7,4.71,81.6,6.2,89.2,2.17,12.0,7.02,Non-uniform
2022-09-26,675.12,139.91,205.67,10.03,369.83,37.58,0.55,Melamine,0.57,30.12,19.84,22.41,11.06,101.9,40.22,71.98,32.07,2.78,834.69,0.23,0.028,8.74,195.7,7.36,3.41,96.4,4.74,92.0,Poor,1.98,0.32,87.7,9.5,93.7,1.86,18.0,8.48,Non-uniform
2022-12-09,778.28,187.85,210.24,9.5,328.83,31.46,0.64,Urea-formaldehyde,0.44,42.79,15.93,30.99,14.21,178.94,83.82,80.5,44.67,2.65,707.91,0.58,0.021,15.92,203.2,8.45,1.13,98.5,1.62,92.0,Poor,3.24,11.25,80.5,6.0,92.8,2.65,15.0,0.57,Non-uniform
2022-01-09,695.27,261.42,216.08,9.6,367.77,27.02,1.74,Melamine,0.33,22.59,23.99,20.18,6.97,145.01,45.02,88.1,37.42,3.12,961.76,0.67,0.03,18.51,188.2,9.35,3.03,93.2,2.64,92.5,Excellent,3.01,17.71,88.7,13.1,96.6,2.24,38.0,5.58,Non-uniform
2022-07-29,737.09,250.1,222.82,9.79,350.26,29.94,2.59,Phenol-formaldehyde,0.35,27.16,15.49,26.28,5.79,159.52,52.59,52.63,43.73,4.55,637.78,0.86,0.05,18.62,195.6,5.92,3.6,92.2,1.39,92.0,Poor,2.11,14.23,94.2,11.9,83.1,1.66,24.0,3.0,Non-uniform
2022-05-28,604.83,245.01,226.19,7.47,391.36,25.4,1.76,Phenol-formaldehyde,0.52,37.1,11.85,18.58,6.88,139.21,80.5,86.79,42.45,1.06,1465.1,0.85,0.042,13.46,213.5,5.35,4.34,90.2,2.38,95.1,Fair,2.36,18.79,92.7,5.3,83.0,2.35,52.0,0.32,Uniform
2022-05-18,790.93,263.22,193.31,7.36,386.29,29.0,1.35,Phenol-formaldehyde,0.54,23.04,20.4,30.03,9.37,111.87,56.65,79.63,47.18,3.63,554.81,0.13,0.017,19.61,223.6,6.97,1.85,91.5,1.42,92.7,Fair,0.07,2.12,80.1,14.7,86.9,1.64,23.0,7.12,Uniform
2022-10-16,673.55,233.86,213.87,8.5,324.32,29.74,1.62,Urea-formaldehyde,0.7,29.93,20.39,29.25,8.06,132.44,38.95,58.83,34.62,2.51,702.7,0.13,0.011,8.4,187.7,11.02,2.48,97.4,1.23,94.8,Good,2.24,6.47,95.0,9.5,81.4,2.55,47.0,3.0,Non-uniform
2022-11-14,704.6,243.38,215.06,7.36,329.1,34.74,2.74,Phenol-formaldehyde,0.4,25.75,23.26,-0.02,8.13,169.46,86.03,84.13,34.91,1.86,870.32,0.36,0.017,7.48,186.1,11.09,1.37,95.6,4.85,91.6,Excellent,1.51,3.03,96.7,8.5,101.5,2.02,93.0,5.39,Uniform
2022-12-10,783.36,235.63,193.36,11.74,319.36,23.15,2.8,Urea-formaldehyde,0.52,35.5,20.88,32.22,5.55,155.91,59.64,94.4,35.82,2.85,1186.21,0.4,0.049,8.38,202.7,5.96,4.65,92.5,3.58,94.4,Good,1.87,16.12,97.0,13.1,84.1,2.2,26.0,4.24,Non-uniform
2022-09-15,663.9,282.94,202.94,11.39,329.21,24.97,0.8,Phenol-formaldehyde,0.5,31.9,19.57,24.84,9.42,175.55,60.01,83.98,45.39,2.25,1456.98,0.77,0.014,15.59,195.5,9.91,4.05,94.3,2.45,94.7,Excellent,3.11,1.68,92.5,13.1,104.7,2.53,42.0,9.17,Uniform
2022-04-20,719.28,242.52,208.5,7.91,383.88,20.38,2.64,Melamine,0.47,26.57,13.26,28.82,5.96,110.07,54.82,57.08,49.49,4.66,611.2,0.77,0.038,19.79,224.0,8.71,1.76,98.2,2.12,95.3,Good,4.82,12.9,91.5,7.7,86.8,1.69,96.0,2.7,Uniform
2022-09-23,674.89,285.63,213.56,7.31,358.1,26.42,2.63,Phenol-formaldehyde,0.5,30.04,20.52,25.88,14.17,75.7,37.73,89.18,41.61,3.72,989.97,0.28,0.025,19.52,220.0,5.9,2.09,92.6,3.1,97.9,Fair,2.09,19.82,84.6,9.1,92.3,2.05,40.0,1.96,Uniform
2022-01-21,727.66,145.52,186.11,6.87,375.09,32.83,0.54,Urea-formaldehyde,0.59,28.31,14.64,34.99,9.16,102.49,74.67,95.09,31.0,0.31,892.02,0.63,0.05,10.34,191.3,5.81,3.28,93.1,1.09,96.5,Excellent,2.6,3.44,98.0,6.9,94.9,1.67,72.0,8.36,Uniform
